JS2gene,F.halapii_gene,F.major_gene,F.muscicola_gene,F.pepsitadii_gene,F.thermalis_gene,F.welwii_gene
nasF_1,glgC,pntB_1,mtrA,rapA,NA,proC_1
cpoB_12,def_3,pntA_1,cpcS1,galK_2,NA,sepF
rcsC_28,ftsX,pntAA,yjmB,cbbY,NA,yggS
rcsC_29,aat,rpmH,gpt,COQ2,NA,rmlC
ktrB,rpsN,rnpA,ywnH,rssB_9,NA,rfbD
ktrA,nth,yidC,rlmD_1,rsbV,NA,cugP_2
cpoB_13,mmpA,ftsH_2,steT,kinE,NA,mshA_17
yjjG,serS,tgnD,hisA,lnrL_3,NA,pyk_1
ndbB_1,sasA_22,psbU,pyrE_2,livF_2,NA,pknD_35
iscS_1,yqeN_2,salL,queC,gpmB,NA,aroH
typA,fmt_2,htpX_3,yceM,glk,NA,sppA_2
pilT_2,phoP_4,dinG,vapC_2,apnhaP,NA,mlaE_2
ftrC,rcsC_20,perR,mopII,yajO_1,NA,plsY_1
lptA,aroE,sthA,nifK_3,lpxB_2,NA,fabG_2
lptB_2,menH_3,cobD_2,nifD_3,lpxA,NA,sasA_19
tolB_4,merA_3,hup,nifH_2,lpxC,NA,pal_2
ecfA2_2,dapL_1,psbC_4,nifD_4,bamA_3,NA,cmpD_2
mshA_13,argD,thf1,bchB_1,purC,NA,cmpC_2
mshA_14,kefC_1,cpcT2,anfK_1,mgtA_2,NA,cmpB_2
tolB_5,pyrG_2,hemF_2,vnfD,ftsH_2,NA,gltI
ybaB,ycf3_4,ilvA,anfK_2,thrB_1,NA,kdpB_2
egtD,ruvB_2,hisB,nfrA2,ndhD1_4,NA,fda
ilvC,soj_8,fabI,fbpC,thrS_1,NA,purK
iolS_1,ilvE,ntcA,tupB,sasA_18,NA,hdc_2
mprA_4,lip1_1,smc_4,tupA,psaD,NA,sasA_20
hisG,ccmK,prtS,frbC_1,trpE,NA,rcp1_5
cmoA,ccmK4,btuF_2,ctaE_3,pipB2_6,NA,rcsC_30
norM,psbC,rcsC_23,ctaD_3,purQ,NA,kaiC
rhaR_3,psbD1_1,panP,bchB_2,purS,NA,kaiB_1
cydB,ycf4,lgrD_2,tal_4,zur_1,NA,rcsC_31
appC,fabF_1,luxA,ddpX,qmcA,NA,arnT_2
ephA,gdhA,lgrD_3,cobK,ftrV,NA,liaR_2
rhaS_1,cefD_1,lgrB,cbiD,purA,NA,pknD_36
recF,ecfA1,lgrD_4,rpiA,rcsC_32,NA,pyrH_1
pacL_1,psbD1_2,btuB_4,sodA2_2,add,NA,aspC_1
fabD,crtI_2,yfiY,rsmG,mutL,NA,acsA
fabH_2,lysDH,pgsA,cbiC,nagZ,NA,cpoB_10
plsX,bcp_1,aspA,dapB,rlpA_2,NA,icfA_1
lptC,mnmA,dpnM_2,psaK_3,phzF,NA,pcxA_2
metG,rnd_2,rcsC_24,sufE,pds_2,NA,adhA
rutD_1,actP,livH_3,yjiA_2,crtB,NA,acyP
gltC_1,smc_4,rsmH,pkwA_2,tadA_2,NA,csd
hlyB_1,tdh_3,ndhH,pyrG,lnrK_2,NA,sufD
hlyD_4,tolQ_2,bchI,opuCD,tcrA_1,NA,sufC
ftsH2_2,tolR_2,cusR,opuBA,sasA_19,NA,sufB
dac,thf1,sasA_23,phoP_4,cbiX,NA,mfd_2
rsmE,cpcT2,yfcG_3,groS_1,kojP,NA,xerC_2
estB_2,rsbV,trxA_1,groL1_1,rssB_10,NA,cysO
kojP,hemF_2,thiE,ruvB_1,ampG_2,NA,trpB_2
sasA_22,apbC,rutB_1,asnO,ftsH4_2,NA,pdhC
pgaC,ftsW_1,cocE,ycf3_8,apcA_2,NA,epsL
gpmI,ecfA2_1,surE_2,mftC,polC,NA,epsD
hcaB_3,ruvC,rcsC_25,iscA,ftsH_3,NA,mshA_18
hrcA,tsaE,glyS,pds_3,gltI_1,NA,epsF_1
glpE_3,der_2,murD,cobQ,cmpB_1,NA,pglF
dapH_1,lpxG,mshA_13,bcp_2,cmpC_2,NA,htrA_3
rssB_6,frbC_1,mshA_14,hisF,cmpD_2,NA,rpsU1_2
ompR,cysE_1,sigK,ruvB_2,pal_1,NA,msbA
rcsC_30,COQ5_10,cysK,cpoB_8,sasA_20,NA,tolQ_1
pdxH_1,hhoA,tcrA_2,cbbS,tolB_11,NA,tolR_1
bamA_4,mshA_16,sasA_24,cbbL,pmbA_1,NA,merA_3
pknD_25,thiE,htpX_4,panB,rcsC_33,NA,bshA_2
dasC,dxs_2,mshA_15,hxlR,rcp1_3,NA,lgt_2
accA,glgX_2,mshA_16,crtI_3,cph1_2,NA,nrtB
hcaB_4,clpB1_3,mshA_17,galK_1,rcsC_34,NA,yjiA_2
folE,rcsC_21,arnC_4,cbbY,rpsU1_3,NA,tuaD
trpF_2,sasA_23,mshA_18,ndhI_3,tal_3,NA,ctaD_2
psaK_2,rcp1_4,hepA_3,hcaC,sasA_21,NA,ctaE_1
psaK_3,sasA_24,mshA_19,acs_1,mazF9_1,NA,fabG_3
rip3_1,mazG,mshA_20,hmgA,rutB_1,NA,yhhW
ureG_2,petC_2,fadN,hpd_2,cocE,NA,ndhB_2
hybF,proA_2,fadA,lrp,modA,NA,mtcA2_2
hypE,ilvB1,fadE,COQ5_8,btuD_17,NA,ndhD1_4
hypD,fabH_3,pntA_2,rhaS_4,rssB_11,NA,ycf3_9
hybG,linC_2,pntB_2,cotA,sasA_22,NA,livQ_2
hypF,tolB_6,rpoD_2,mdtA_3,phoP_4,NA,mgtA_3
nfuA_2,lgrE,tolB_4,bepE,phoP_5,NA,auaH_4
hydA,yjlD,dnaK_2,nhaS3_2,cbiD,NA,noc_1
ldhA,bpoC,tolB_5,rcsC_31,arnT_3,NA,acpP_2
ydfG,livH_1,minD_2,iolS_2,rcsC_35,NA,pksE_2
murG,lptB_2,yojI_1,azoR1_2,kaiA,NA,lgrD_1
argD_1,livF_2,cpcT1,rhaS_5,kaiB_1,NA,auaH_5
ubiB_4,rpe,prk_2,frbC_2,kaiC,NA,clpP_4
lnrL_3,tagU_2,CARKD,cysE_3,mprA_9,NA,walR_3
tolB_6,todF,mazF,cymR_3,hisG,NA,hcaR_2
menH_7,resA_3,efp,srpB_2,frp,NA,dfa1
icfA_2,pyrH_1,accB,yfcA_2,cydB,NA,dfa5_3
cmpA,frr,ziaR_2,novR_1,cydA,NA,hcaE
cmpB_1,menJ,proS,ssuD_1,eryB,NA,hisS
cmpC,ribE,kaiB_2,ssuA_1,nhaS3_1,NA,ald_2
cmpD_2,birA,sacA,metP,bicA,NA,amiE
bicA_2,rhaR_4,btuD_9,metN,cmpD_3,NA,rcsC_32
nhaS3_2,nemA_1,mshA_21,sfnG_1,cmpC_3,NA,ykfA_2
hutZ,norV_1,mshA_22,ghrB_2,cmpB_2,NA,ruvC
yajO,sasA_25,mshA_23,serA_2,cmpA,NA,menF_1
dps_1,mshA_17,mshA_24,tas,yedZ1,NA,tsaE
yhhW,mshA_18,arnC_5,ssuA_2,yedY1_2,NA,der_2
tolB_7,CARKD,glf,ssuB,COQ5_11,NA,lpxG
pksL_3,rcsC_22,mshA_25,sfnC,moeA,NA,sasA_21
ctaE_2,cheB_1,arnC_6,ssuC,azoR1,NA,norV_2
ctaD_3,cheR_1,btuD_10,sfnG_2,mshA_11,NA,nemA_2
hybD,rcsC_23,spoVD,soxC,btuD_18,NA,fnr
mopII,rcsC_24,adhA,sbpA_1,arnC_5,NA,rhaR_3
ctaB_1,hemN,clpB1_1,sphX_2,groL2,NA,birA
fdxH,pbsA1_2,ybhR,pstA1,tagO,NA,ribE
hesB1,ttuD,ybhS,pstB3_3,fabG_1,NA,menJ
hesA1,vldW,ybhF,ssuD_2,speB,NA,frr
nifW2,ychF,cbpA,ssuE,hypA,NA,pyrH_2
nifK_1,speA_1,dnaK2_2,rutB_2,hypB_2,NA,todF
nifD_1,rsfS,hspA_4,cocE,ompA_1,NA,tagU_1
nifK_2,psaA_2,rssB_6,surE_1,ssuC_1,NA,rpe
nifD_2,yfcG_2,sasA_25,wcaJ,nrtD_1,NA,livF_2
nifH,ycf3_5,tcrX,sigA2_2,uvrA,NA,lptB_3
nfuA_3,psaM,phoP_6,QRSL1,rcsC_36,NA,livH_3
nifS,PSK,clcB_2,IMPDH_1,metK_2,NA,bpoC
nifB,lnrL_2,hpf_1,pyrB,prk_2,NA,lgrE
tolB_8,vapC1,guaB,pcyA,petH,NA,tolB_7
psaA_1,ybaQ,zwf,macB_5,hom,NA,ilvB2
ucpA,higB2,amyS,gutB_1,rtpR,NA,xerD_1
psbN,yheI_2,lon2_2,gabR,cbiC,NA,murF
psbH_1,galE_1,ubiB_3,rutC,dapB,NA,prfA
tatA,ftsW_2,groL1_2,minD_1,psaK_1,NA,rpmE
pth,apcC,groS_2,ftsH_2,sufE,NA,rpsI
rpsU1_1,apcB,ftsH4_2,rppH,yjiA_1,NA,rplM
rsmI,apcA_2,cpoB_12,thadh,pkwA_2,NA,truA
yihV,apcE,amiE,kptA,lgrD_2,NA,rplQ
cysQ,sasA_26,ald_1,ispU_1,yhdG_2,NA,rpoA
pstS_2,walR_2,hisS,glnA_1,rcsC_37,NA,rpsK
rpsU1_2,atpB,ilvC,lutA,phoP_6,NA,rpsM
spkC_2,atpE,iolS_1,mazG,patA_5,NA,infA
pstS_3,atpG_1,mprA_4,styD,alr2,NA,adk_2
hpnP_2,atpF,hisG,petC_2,yafP_2,NA,secY
opuBA,atpH,cydB,proA_1,gltA,NA,rplO
opuCD,atpA,cydA,pchA,ndhA,NA,rpsE
pabA,atpG_2,cysC_1,menA_2,ndhI_2,NA,rplR
walR_3,ssrA,bepA_6,ykfB,nuoK,NA,rplF
radA,tkt,rssB_7,menE_1,nadK_1,NA,rpsH
pknD_26,fabF_2,hoxH,egtB_3,ridA,NA,rplE
btuD_12,acpP_5,iolG_3,pknD_25,sasA_23,NA,rplX
pknD_27,sdhE,map_2,hspA_4,rcsC_38,NA,rplN
pknD_28,ackA_2,xerC,araQ_1,sasA_24,NA,rpsQ
rimP,gpmA_2,bcp_3,ilvA,dgcE,NA,rpmC
nusA,adc,lysDH,mtnB,cbpA_1,NA,rplP
infB,dnaK2_2,crtI_2,mtnX,hspA_2,NA,rpsC
btuD_13,dusB,pvuIIR,mtnD,moaC,NA,rplV
hlyD_5,cysK1_4,pvuIIM_1,mrdA,cntE,NA,rpsS
surA,pipB2_2,yceM,nfuA_3,rgtE,NA,rplB
aroC,lacF_3,queC,rcsC_32,arcB,NA,rplD
ghrB,purN,pyrE,lepA,rssB_12,NA,rplC
glgA_2,fosA,thiC,moaA_1,pacL_2,NA,ndhN
mtfA,acnB,pknD_22,thrC,pacL_3,NA,bicA_3
psbU,dtd,walR_4,ftsH_3,ahcY,NA,azoR1
salL,moaB,lipA2,yidC,rcsC_39,NA,rhaS_2
ppk_2,rhlB,btuD_11,rnpA,rcsC_40,NA,rsmF
scmP_2,sat,sasA_26,rpmH,pknD_13,NA,bacC_2
rhaS_2,lyr,serS,pntAA,glyQ,NA,comM
pknD_29,pabA,mmpA,pntA_1,smc_3,NA,psbA3_2
besA,dgkA,nth,pntB_1,trpD2_2,NA,cpcG4_1
ydaD,ybeY,glnB,yafJ,carA,NA,cpcG4_2
merA_3,prfB,pgcA,moeA,mrnC,NA,cpcG2
COQ5_8,gatD,COQ5_5,pknD_26,rlmB,NA,cpcG1
sasA_23,ycf3_6,moaA_3,pkwA_3,xylF,NA,cpcF
tcrA_6,psbZ,kdpB_5,pknD_27,pal_2,NA,cpcE
moaA_3,ribH,feoB,spkB_3,rtcA,NA,cpcD
COQ5_9,menE_5,hoxY,petJ_3,murJ_1,NA,cpcC
pgcA,ykfB,sfrA,petE,mshA_12,NA,cpcA
glnB,menA_1,rsxC,psbV,arnC_6,NA,cpcB
nth,pchA,pat,serC,mshA_13,NA,pecF
mmpA,psbA3_3,ppsA_1,bepA_4,mshA_14,NA,pecE
serS,mshA_19,accA_2,gph_3,mshA_15,NA,pecC
sasA_24,ubiL,addA,susA_2,btuD_19,NA,pccA
nboR,lysS,addB,mshA_22,nifJ_1,NA,pccB
btuD_14,glk,phoR,xynZ_3,gpmI,NA,rluD
qmcA_2,glnQ_2,merA_1,tarA,ybiT,NA,patA_5
folP,phnE,ftsY,murJ_2,ziaR_2,NA,nasF_2
tpiA,queE,nusB,aspS,COQ5_12,NA,murJ
ppsA_1,psaI,htpG,htpX_4,dapH_1,NA,tagU_2
pmt,psbE,clpB1_2,pncB2,mshA_16,NA,rfbM
cph1_3,norV_2,gloA,nadD_2,iolG_3,NA,rsmB
rcp1_4,ndhC,alkJ,nadE,eamA,NA,mtgA_3
sasA_25,ndhK1,rhlE,lnrL_2,envC,NA,folK
trmB,ndhJ,thiL,ycf3_9,thrS_2,NA,act
cpdA_4,tpiA,gap2,sufB,trmFO,NA,cymR
accC,folP,nadD_2,sufC,yfcG_5,NA,cysK1_2
psbX,qmcA,murC,sufD,pgl,NA,dnaJ_5
tolB_9,btuD_16,murB,csd,rph,NA,hemH_2
tolB_10,pucA_2,nrtD,copA,adk_2,NA,rocA
cmoM,mobA_1,ssuC_1,wecD,btuR,NA,rbsK
ribBA,argS,ompA_1,ampG,dcd,NA,cugP_3
argC,lpxD,hypB_2,murF,thyA,NA,ilvB_1
eno,rcsC_25,hypA,prfA,resA_4,NA,entS_3
ykoD_1,tatC,speB,rpmE,aroA1,NA,ampG
ecfT_1,nadB,pepA,rpsI,cysG_1,NA,dapH_1
thyX,rimO,trxA_2,rplM,rbsB,NA,rnhA
ybdK,crhR,mutS2,truA,rbsA,NA,rpmA
pepE,pucC,epsF,rplQ,rbsC,NA,ribD_1
hcaB_5,suhB_1,pilT,rpoA,ppsA_2,NA,mreB
psaB1_1,menA_2,grpE,rpsK,srpB,NA,nhaS3_3
argJ,tagG,dnaK_3,rpsM,glgP_1,NA,murI
gatB,btuD_17,dnaJ_6,infA,fghA,NA,hepT
yidD,mshA_20,rsgA,adk_1,queE,NA,proC_2
vte5,gmd_1,sigF,secY,mshA_17,NA,mtnW
pncB2,pknD_21,psbO,rplO,rsfS,NA,petG
nadD_2,dagK,ftsQ,rpsE,IMPDH,NA,rsmD
nadE_1,hemC,ftsZ,rplR,novR,NA,hisH
lnrL_4,glgA_2,gshB,rpsH,sasA_25,NA,yhaV
ycf3_8,aroQ,hflX,rplE,zraR,NA,petA
sufB,topA_1,purQ,rplX,rcsC_41,NA,petC1
sufC,ndhB_3,purS,rplN,dapF_1,NA,hcnC_1
sufD,petC1,zur,rpsQ,hfq,NA,dhaAF_3
csd,petA,qmcA_1,rplP,kefB_6,NA,apaH_2
copA,hisH,rutE,rpsC,trpS,NA,bepA_2
pds_3,rsmD,ubiB_4,rplV,yitJ,NA,tadA_2
cobQ,petG,btuD_12,rpsS,hcnC,NA,rihA
bcp_2,mtnW,emrA,rplB,dhaA_2,NA,truB
hisF,clpC_2,pnp,rplD,rpiA,NA,iolS_3
ruvB_1,mshD,rapA,rplC,ybfK,NA,hslO
cpoB_14,lysA_3,spo0M,ndhN,hcaB_4,NA,scmP_2
cbbS,dacA,ycf3_10,bicA_1,cpoB_13,NA,pipB2_3
cbbL,ispU,cheB_3,hmuU,cpoB_14,NA,pknD_37
panB,dnaJ_4,nreC,yusV_2,pknD_14,NA,besA
hxlR,dnaJ_5,ppk_2,btuF_1,cpoB_15,NA,ydaD
rimM,dnaK2_3,hisD_2,araQ_2,yafJ,NA,srkA_1
flhA,pknD_22,rpoC2,moaA_2,mrdA_1,NA,thiE
pknD_30,clcA,rpoC,rpsD,potA,NA,argG
rcsC_31,gutB_2,rpoB,hetR,potD,NA,rpsF
livH_3,hetR,dtd3,gutB_2,potB,NA,glyA
lipA2,rpsD,rpsT,xfp_1,mshA_18,NA,tilS
cheB_4,moaA_3,btuD_13,polA,murF,NA,smc_4
pknD_31,serC,pds_3,yidA_1,rimJ_1,NA,patA_6
thiC,bepA_2,cntE,spkF,rluE,NA,phoP_7
pyrE_1,gph_2,dusB,cmpR_3,sasA_26,NA,rcsC_33
queC,susA,dnaK2_3,nuoL_2,pknD_15,NA,psbA1
yceM,xynZ_1,cutA,ndhD1_3,purD,NA,ppc
proA_2,tarA,fosB_2,cimA,sasA_27,NA,accD
thiE,aspS,cysO,thiG,menH_4,NA,pppA
pimB_1,htpX_4,trpB_2,yhdJ,expZ,NA,leuB
cpoB_15,trmJ,ctpF_2,garR,cmpR_4,NA,rsgA
ycf3_9,psb28,mshA_26,yqjG_2,ubiB_2,NA,dnaJ_6
rcsC_32,gpmA_3,tmk,dpnM_2,prpC,NA,dnaK_2
rcsC_33,pyrC_2,dagK,lptB_1,spkA_2,NA,grpE_2
tam_3,nadA,cpoB_13,pgi,btuD_20,NA,pilT
dapF_2,gatA_1,sasA_27,cydA_1,trpC_2,NA,epsF_2
tri1,dnaE1,pgaC,cydB,lpdA,NA,mutS2
rcsC_34,sipS,cysE_1,rhaR_1,amyX,NA,trxA_2
mprA_5,pbpG,frbC,queF,gshAB,NA,pepA
mshA_15,tyrS,bepE,yjcG,cphB_1,NA,hydA
sasA_26,pyrF,mdtA_3,adhT,tolB_12,NA,nfuA_2
rhaR_4,mscL,hcaC,bamA_3,pdxI,NA,yccX
sasA_27,rfbA,atzE,shc,ndhK,NA,hybG
ydeP,cbiT,accD,ftsH2_1,sbcD,NA,hypD
pleD_2,rhaR_5,outO,pyrC_1,cysH,NA,kduD
saeR,dps_3,leuB,sipT_1,rcsC_42,NA,hypE
tsaE,rluB,petB_2,rssB_6,rcsC_43,NA,hybF
ruvC,ftsH4,petD,rssB_7,cheB_4,NA,ureG_2
aqpZ2,btuD_18,rsbW,rcsC_33,ndbB_1,NA,rip3_2
phoP_4,hlyD_3,ssrA,pyk_2,ndbB_2,NA,psaK_2
phoP_5,nahK,atpG_1,malP,petF_1,NA,psaK_3
sasA_28,rcsC_26,atpA,stp,aroQ,NA,trpF
rssB_7,oatA,atpH,kojP,topA,NA,folE
spoVD,mfppA_1,atpF,estB_1,ndhB_2,NA,fabG_4
btuD_15,pepP_2,atpG_2,rsmE,ziaA,NA,accA
mshA_16,mdtC_1,atpE,dac,sigA2_3,NA,dasC
glf,tcrA_3,atpB,fbaB,hemN,NA,ywnH
glfT2,sasA_27,apcE_2,aspC,pbsA1_1,NA,gpt
arnC_6,ilvA,apcA,cbiG,crtX,NA,yjmB
mshA_17,arnC_10,apcB_2,ankX,sasA_28,NA,cpcS1
mshA_18,fbiC_1,apcC,yhfK_2,arsC,NA,mprF
mshA_19,infC_1,COQ3_2,menH_8,arsH_2,NA,xynZ_1
mshA_20,cas4-cas1,besC,xpkA,cdr,NA,ybhN
btuD_16,lip1_2,sasA_28,pgm,aqpZ_1,NA,petB_1
sacA,ftsH_7,ftsW_2,tldD_3,sphX_1,NA,petD_2
kaiB_1,yidC,galE,ccsB,cadI,NA,rsbW_1
proS,rnpA,yheI,dsbD,crtI_2,NA,moeA
ziaR_1,rpmH,hemN_2,secA,lysDH,NA,tolB_8
accB,pntAA,pbsA1_2,ribF,dapL_2,NA,pkwA_3
efp,pntA,ndhD1_4,rbn,gldA,NA,pknD_38
CARKD,pntB,ndk,surE_2,dnaK2_2,NA,petJ_2
prk_2,iscA,speA_1,pheS,dnaJ_2,NA,petE
rhaR_5,pds_1,cugP_1,dbpA_1,dnaJ_3,NA,psbV
aes,cobQ,pdxH_2,leuA_1,ispU,NA,araQ_2
cpcT1,bcp_2,argB,pknD_28,dacA,NA,gnd
mshA_21,srpB,pknD_23,sseA,lysA,NA,fabG_5
mshA_22,glgP_2,pknD_24,mnmC,mshD_1,NA,tagO
mshA_23,fghA,plsY,glmU,clpC_1,NA,groL2
arnC_7,tuaD,mlaE,pvuIIM_3,pkwA_3,NA,corA
arnC_8,ftsE,rcsC_26,pyrD,spkB_1,NA,rnc_2
mshA_24,tagA_2,rcp1_5,cobO,pknD_16,NA,iolG_2
hepA_3,degU_1,cph1_2,pipB2_3,lagD_2,NA,rcsC_34
bshA_4,rsbW_2,pmt,glyS,hlyD_4,NA,ribD_2
mshA_25,queG,ppsA_2,murD,capV,NA,purF
bshA_5,gph_3,tpiA,psaC,msmX_2,NA,purL
menE_2,yknY_3,folP,tuaD_1,folB,NA,apcD_2
fadN,xdhA,qmcA_2,kefB_6,menD,NA,rlmCD
fadA,fkpB,sasA_29,ftsW_2,ttuD,NA,asnS
fadE,copA_3,novR,apbC_2,menB,NA,phoP_8
pntA_2,feoB,ysdC,hemF_1,trxB,NA,groS
pntB_2,des,IMPDH,cpcT2,dapL_3,NA,groL1
tldD_2,ybiT,lpxD_2,thf1,purB,NA,ndhH_1
iscS_2,gpmI,rcsC_27,tolR_2,pfp_2,NA,rsmH
bchI,pipB2_3,clcA_2,tolQ_2,gatB,NA,yusO
ndhH,pknD_23,pknD_25,desV_3,argJ,NA,mdtA_4
rsmH,clpS_1,dnaK2_4,fetB_2,clpP_5,NA,mdtB_2
COQ5_10,rne,dnaJ_7,sucC,rip3_2,NA,luxQ
cpoB_16,rnhB,pknD_26,sucD,ybhR_1,NA,cheB_4
gmd_2,pheA,rcsC_28,rcsC_34,yfcG_6,NA,cheB_5
mshA_26,lon2,menH_4,bcrA,pknD_17,NA,gsiA_2
btuD_17,rpsJ,rlmB,algU,thiD,NA,oxyE
tagG,tuf,mrnC,leuB,glnB,NA,ugpC
menA_2,fusA_3,carA,pppA,pgcA,NA,cysS
neoA,rpsG,trpD2,accD,yceM,NA,yciC
suhB_2,rpsL,sasA_30,atzE,queC,NA,dtd
pucC,gltS,ackA,cpoB_9,pyrE,NA,moaB
crhR,dxr_2,pspA,msrB,thiC,NA,rhlB
rimO,frdA,tal_3,mutS,bcp_2,NA,sat
atpD,yhfK_1,kefC_2,amiC,alaC,NA,lyr
atpC,aspC_2,argD,livH_1,ymfD,NA,arnT_3
pknD_32,metK_1,mshA_27,lptB_2,rhaR_1,NA,ycf3_10
ahcY,crnA,btuD_14,livF_2,sigJ,NA,gatD
murK,cas2,arnC_7,folD,rsgA,NA,prfB
ampG_2,cas1_2,xseB,pdxJ,dnaJ_4,NA,ybeY
valS,uvsE,xseA,gsiA_1,dnaK_2,NA,dgkA
larE,dnaK_2,recA,higB-1,grpE,NA,pabA
apcD_1,eda,spkB_2,glsA1,epsE,NA,psbZ
rlmCD,miaB,smtA,menH_9,pilT_2,NA,ribH
asnS,btuD_19,hemL,bchE,epsF,NA,iscA
phoP_6,sphR_1,hisI_2,dgcE,mutS2,NA,pds_3
groS,grxD,phoP_7,ycf3_10,trxA_2,NA,cobQ
groL1,prcA,ppaX,pknD_29,pepA,NA,bcp_2
ruvB_2,tadA_1,hpd,bamA_4,rutD,NA,srpB
mftC,hemA,ecfT,pdxH_2,metG,NA,ppsA_2
pstS1,pds_2,der_1,rssB_8,lptC,NA,glgP_2
pstC_2,hspA_2,tpm,ompR,azoB_1,NA,fghA
pstB3_3,moaC,gpmA,mdtC_1,higB,NA,pgi
alkA,cntE,pyrC_1,auaH_1,higA_1,NA,lptB_4
htrA_3,rgtE,nadA,mprA_3,plsX,NA,yqjG_2
treS_2,arcB,leuA,walK_1,fabH,NA,garR
fgd1,crtB,pknD_27,mhpC,fabD,NA,yhdJ
ftsH4_2,pds_3,sseA,ddl,plsC,NA,thiG
acr1,phzF,mnmC,tolB_5,ccmK4,NA,cimA
rluB,rlpA_1,glmU,miaB,ccmK,NA,ndhD1_5
dps_2,nagZ,pyrD,cmpC_2,lip1_1,NA,nuoL_2
rhaS_3,ebrB,cobO,aroF_3,ilvE_2,NA,cmpR_3
cbiT,mutL,pipB2_4,tkt_2,sasA_29,NA,spkF
mscL,glpE_1,hisA,fabF_1,mprA_10,NA,ppk_2
pyrF,add,steT,acpP_1,folD,NA,adhT
tyrS,purA,sphR_3,sdhE,deoC1,NA,tolQ_2
pbpG_1,ftrV,sphS,ribH,recO,NA,tolR_2
sipT_2,pcrA_2,phoU,psbZ,mshA_19,NA,thf1
ycf3_10,rpmI,cysR,yfcG_4,mutY,NA,cpcT2
COQ5_11,rplT,arnC_8,ycf3_11,COQ5_13,NA,rsbV
dnaE1,glnH,fbiC_1,psaM,mscL,NA,hemF
gatA_1,chlB,yqgN,PSK,mshA_20,NA,apbC
phoD_3,mlhB,fcl,hlyD_4,mshA_21,NA,ftsW_2
clpC_1,vat,gmd_2,btuD_17,dapH_2,NA,kefB_3
mshD,apaH_2,mshA_28,nadB,COQ3_2,NA,ecfA2_2
lysA,bepA_3,btuD_15,tatC,mshA_22,NA,ubiB_4
dacA,rihA_1,prfC_2,htrA_1,arnC_7,NA,egtB_7
ispU_1,fbiC_2,nrtA_1,dapH_2,btuD_21,NA,pepP_1
dnaJ_6,merR1_3,cmpC_1,yiiM,glfT2,NA,ffh
dnaJ_7,cpcT1,cmpB_1,noc_1,glf_1,NA,rpsP
dnaK2_3,yyaP,purF,choA_1,ubiB_3,NA,rpsU
pknD_33,glyQ,purL,hrcA,btuD_22,NA,gchK
clcA_1,apc4,ald_2,ubiB_3,mshA_23,NA,cbiM_1
zupT_2,apc3,ileS_2,argD_2,mshA_24,NA,czcD
rcsC_35,tvaII,menA_2,murG_1,gloB_1,NA,cbiN
lpxD,COQ5_11,neoA,ydfG,rplI,NA,cbiQ
IMPDH_1,ettA,suhB_2,rpsU,sasA_30,NA,ecfA3
ysdC,psbN,pucC,rpsP,sasA_31,NA,cbiM_2
novR,psbH,tcrA_3,ffh,murE,NA,efp
sasA_29,tatA_2,sasA_31,narB,pknD_18,NA,accB
mutY,pth,btuB_5,nrtP,desV_3,NA,smtB
sigA2_2,rpsU1_3,crhR,cmpD_2,fetB_1,NA,proS
carB,rsmI,rimO,cmpC_3,sucC,NA,kaiB_2
dps_3,yihV,sasA_32,nrtB_2,sucD,NA,sacA
kmo,cysQ,copR,nrtA,bcrA,NA,btuD_16
trpB_1,pstS_2,czcR,sir_3,ycf3_9,NA,mshA_19
yciH,recR,murG_1,gltC_2,fbiC_2,NA,mshA_20
fmt,mshA_21,murG_2,trpD,psbA3_3,NA,mshA_21
yqeN,recO,bshA_2,panD,yqeN,NA,mshA_22
COQ3_5,deoC1,atpD,ppa,mnmA,NA,mshA_23
rip3_2,haeIIIM_1,atpC,regX3,CARKD,NA,mshA_24
hcaR_2,mftC,clpB1_3,rcsC_35,sasA_32,NA,arnC_7
yhgF,alkA,estP,cugP_3,pknD_19,NA,btuD_17
yyaP_2,ada,yadH,ilvB,pknD_20,NA,spoVD_1
nadE_2,pbpE,kefB_4,entS_2,malK,NA,cysA_1
ttuD,gatB,cysC_2,hemH_2,icd,NA,pcxA_3
glnQ_2,argJ,cysC_3,rlmD_2,phoP_7,NA,rssB_5
yhdY,ahcY,nfi,rbsK,rcsC_44,NA,sasA_22
yhdW,aroF_6,COQ3_3,ndhB_2,COQ5_14,NA,phoP_9
mshA_27,dnaJ_6,btuD_16,topA,petC1,NA,phoP_10
arnC_9,yeeZ,relK,aroQ1,petA,NA,pcaK
mntB_3,ssuA,yefM,COQ5_9,rcsC_45,NA,aqpZ_2
mntB_4,ssuB,clpC_2,yrrK,pphC,NA,glpK
mntA,ssuC,der_2,sasA_23,cpoB_16,NA,rfuC
bspRIM,auaH_3,bepA_7,yqjG_3,rfbF,NA,ndoA
sasA_30,lacG,vapC,sigE,lhgD,NA,mglA
era_3,tam_2,yojI_2,leuS,dapH_3,NA,tmpC
psbA3_2,msrQ,menB,galK_2,hldD,NA,glcP
tlyA,hisZ,dusA,gtaB,rfbC,NA,btuD_18
apcD_2,suhB_2,sigB,iolG_4,hepA,NA,modA
glnA,ureG_2,cysW,mshA_23,mshA_25,NA,vldH
COQ5_12,btuD_20,cysT,hepA_2,arnC_8,NA,ndhI_1
mdtA_4,COQ3_2,sbpA,bshA_4,mshA_26,NA,sasA_23
