JS2gene,F.halapii_gene,F.major_gene,F.muscicola_gene,F.pepsitadii_gene,F.thermalis_gene,F.welwii_gene
fdhD,mcrA_1,ycf3_3,pepA,yheI,pmt,gsiC
cpoB_1,betA_1,psaM,trxA_1,ubiB_1,cph1,apt
sfsA,pytH,PSK,mutS2,recN,rcp1_2,mtgA_1
aldHT,liaR_1,lnrL_2,epsF,dctA,rcsC_7,lspA
yabJ_1,pknD_2,scrK,pilT,dnaE,trmB,pstC
malQ_1,dnaK_1,pknD_3,grpE_1,metH,cpdA,pstA_1
rfaQ,tnsA,pknD_4,dnaK_1,cbiET,dpnM,pstB
ispD,tnsB,sasA_6,dnaJ_3,soxA_1,accC,larE
scpB,hxuB_1,norV_1,rsgA,frr,psbX,rcsC_9
hhoB,yknY_1,birA,sigB_1,pyrH,tolB_1,livH_1
ispG,macB_1,ribE,psbO,resA_1,tolB_2,psaX
gpmB,mdtA_1,menJ,tolB_1,menH_1,ribBA,glsA1
glk,ribF_1,frr,ftsQ,tagU_1,argC,rlpA_1
lysS,prnA,pyrH,ftsZ,rpe,eno_2,panC/cmk
ubiL,tcmN,resA_2,gshB,uvrB,gap1,patA_2
rsxD,yojI_2,menH_1,pknD_6,murB,tal_2,murQ
pcxA_1,menF_2,tagU_1,clpS_1,murC,rcsC_8,ubiX
argF,aroF_2,rpe,rne,nadD_1,rcsC_9,rnr_2
lexA,kmo_1,rgtE,rnhB,gap2,rcsC_10,clpP_1
ispE,tpl_2,arcB,pheA,thiL,rcsC_11,mobA
rsmA,ctcP_1,crtB,lon2_1,ybaB,ligA,ilvH
argG,noc_7,pds_2,rpsJ,btuD_3,kdpD,scmP_1
rpsF,xerC_5,phzF,tuf,prsA_1,kdpC,bioD1
glyA,btuD_1,rlpA_1,fusA_1,prk_1,kdpB,pknD_5
cinA,pkwA_1,nagZ,rpsG,adhA,kdpA,prs
proB,xerC_6,ebrB,rpsL,pcxA_1,panS,pdxJ
betI_1,xerC_7,mutL,gltS,lytC,priA,folD
psaC,soj_5,glpE_2,dxr,psbN,rpoD,livF_1
glmS,noc_8,add,sdhA,psbH_1,petJ,lptB_1
adhA,ltrA_2,purA,yhfK_1,tatA,btuB_2,livH_2
pcxA_2,sasA_5,ftrV,smc_1,pth,pknD_4,amiC
icfA_1,ltrA_3,cbiM_1,sodB,rpsU1_1,man5A,rcsC_10
cpoB_2,zwf1,ecfA3,purM,rsmI,tolB_3,rcsC_11
bpoC,namA,cbiN,susA_1,RBKS,hmp,rhlE_1
