lnt,fmt_1,gnd,ccmM,moaA_3,gloA,mtnX,cobO
phoD_1,bamA_2,btuD_2,ccmL,entS_1,clpB1_1,mtnD,resA_2
menH_1,pknD_1,mshA_2,ccmK1_1,tyrC,htpG,mrdA_1,glmM
xynZ_1,xerC_3,gmd_1,ccmK2_1,pimB,nusB,nfuA_1,crtI_1
mprF,sigA2_4,cpoB_2,nuoL_1,thiE,ftsY,rcsC_3,bioF
sugB,tpl_1,yidD,ndhD1_1,stp_1,merA_1,lepA,rplY
msmX,sigA2_5,vte5_2,map_1,mprA_2,ppsA_1,amtB,tilS
pknD_5,carC_1,pncB2,yrdA,yxlF,pat,purE,thiE
ydbD,petB_1,nadD_1,psbY,purU,rsxC,nagA,tyrC
pknD_6,petD_1,nadE,fpgS,btuD_2,hoxU,chlM,hisH
apaH_1,pvadh,lnrL_1,sctC,algA,hoxY,amt,msrQ_1
COQ3_3,kshA,ycf3_2,hup,ysnE,feoB,tlyA,pbsA1
fni,eryG,sufB,cobD_1,serA,kdpB_1,era_1,map_1
sppA_1,menE_1,sufC,merA_1,prmA,moaA_1,rcsC_4,infA
dnaG,tdh_1,sufD,btuD_4,carC_2,COQ5_2,bspRIM,ppc
amyX,dltA_1,csd,rcsB,dxr,pgcA,mntB_1,nagZ_1
lpdA,nfrA2,copA,perR,sdhA,glnB,mntB_2,sphS
trpC,smc_1,pds_1,dinG,metK_1,nth,bchI,ydaD_1
btuD_3,anfK_1,cobQ,htpX_1,ppc,mmpA,bepA_1,cimA
gsiC,bchB_1,bcp_1,fbiC_1,psbA1_1,serS,ndhD1_1,pknD_1
apt,anfK_2,hisF,phoP_1,mntB_1,sasA_3,mnmG,rpsF
mtgA_1,bchB_2,ruvB_1,petC1,mntB_2,btuD_1,phrB,lcfB_1
lspA,nifD_1,cpoB_3,petA,typA,lipA2,rcsC_5,btuD_2
pstC_1,nifH_1,cbbS,hisH,gcvT_1,walR_1,rcp1_1,cpcT
pstA_1,nifD_2,cbbL,rsmD,pknD_3,pknD_5,rcsC_6,purS
pstB3_1,nifK_1,panB,mtnW,dhaA_1,thiC,rcsC_7,glmU
sasA_2,mopII_1,hxlR,hepT,chaB,pyrE,moaE,surE
pal_1,dbpA_2,rimM,murI,tenA,queC,msmX,pstS_1
cmpD_1,rapA_2,cpoB_4,nhaS3_1,lptB_1,yceM,sugB,pstC
gltI,rapA_3,cpoB_5,styA,lptD_1,chlM,lnt,pstA_2
zosA,noc_6,queA,ptlI,ftrC,nagA,gyrA_1,pstB3_2
cpdA_1,soj_4,leuC,rnhA,pilT_1,purE,rcsC_8,xerD_1
cysH,xerC_4,leuD1,rpmA,cbs,amtB,amyX,arnC_1
tycC,sigA2_6,gntK,ribD_1,ilvD,ispH,lpdA,wcaJ_1
sasA_3,cpdA_1,tolR_1,mreB,hcaR_1,hom,trpC_1,mshA_2
gdhI,hchA,tolQ_1,ssb,galE,petH,btuD_1,mshA_3
fdhD,mcrA_1,ycf3_3,pepA,yheI,prk_1,gsiC,rfbB
cpoB_1,betA_1,psaM,trxA_1,ubiB_1,metK_1,apt,rmlA
sfsA,pytH,PSK,mutS2,recN,rcsC_7,mtgA_1,rmlC_1
aldHT,liaR_1,lnrL_2,epsF,dctA,kojP,lspA,cugP_1
yabJ_1,pknD_2,scrK,pilT,dnaE,estB_1,pstC,nadK_1
malQ_1,dnaK_1,pknD_3,grpE_1,metH,rsmE,pstA_1,mshA_4
rfaQ,tnsA,pknD_4,dnaK_1,cbiET,dac,pstB,comM
ispD,tnsB,sasA_6,dnaJ_3,soxA_1,azr,larE,metH
scpB,hxuB_1,norV_1,rsgA,frr,ftsH2_2,rcsC_9,betI_1
hhoB,yknY_1,birA,sigB_1,pyrH,hlyD_1,livH_1,oleD
ispG,macB_1,ribE,psbO,resA_1,ltxB,psaX,yokD
gpmB,mdtA_1,menJ,tolB_1,menH_1,prsA_1,glsA1,cspLA
glk,ribF_1,frr,ftsQ,tagU_1,ftsE,rlpA_1,phoD_1
lysS,prnA,pyrH,ftsZ,rpe,menH_1,panC/cmk,yknY_1
ubiL,tcmN,resA_2,gshB,uvrB,bepA_1,patA_2,macB_2
rsxD,yojI_2,menH_1,pknD_6,murB,apaH_2,murQ,macB_3
pcxA_1,menF_2,tagU_1,clpS_1,murC,vat,ubiX,dinF
argF,aroF_2,rpe,rne,nadD_1,chlB,rnr_2,ydjH
lexA,kmo_1,rgtE,rnhB,gap2,glnH,clpP_1,RBKS_1
ispE,tpl_2,arcB,pheA,thiL,rplT,mobA,COQ3_1
rsmA,ctcP_1,crtB,lon2_1,ybaB,rpmI,ilvH,purT
argG,noc_7,pds_2,rpsJ,btuD_3,mprA_1,scmP_1,gppA
rpsF,xerC_5,phzF,tuf,prsA_1,nadK_1,bioD1,petG
glyA,btuD_1,rlpA_1,fusA_1,prk_1,petM,pknD_5,cysC
cinA,pkwA_1,nagZ,rpsG,adhA,pdxA2,prs,nhaS3
proB,xerC_6,ebrB,rpsL,pcxA_1,glpE_1,pdxJ,ktrB
betI_1,xerC_7,mutL,gltS,lytC,rnd_1,folD,ktrA
psaC,soj_5,glpE_2,dxr,psbN,murE,livF_1,cpoB_2
glmS,noc_8,add,sdhA,psbH_1,sasA_4,lptB_1,pheA
adhA,ltrA_2,purA,yhfK_1,tatA,pheT,livH_2,ubiX
pcxA_2,sasA_5,ftrV,smc_1,pth,rcsC_8,amiC,gap2
icfA_1,ltrA_3,cbiM_1,sodB,rpsU1_1,pphC,rcsC_10,pth
cpoB_2,zwf1,ecfA3,purM,rsmI,cpoB_2,rcsC_11,folP
bpoC,namA,cbiN,susA_1,RBKS,rfbF,rhlE_1,larC
amiF,tcrX,czcD,purH,cysQ,lhgD,macB_1,argD_1
ald_1,rssB_3,cbiM_2,pknD_7,tolB_1,hldD,pcyA,mnmA
hisS,isiB_1,ftsP,sasA_6,entS_2,rfbC,ecfA2_1,aviRb
kce,isiB_2,efeU,norV_1,trxA_1,hepA_1,gatA_1,purH
yjgH,hspA_1,yusV_1,fnr,baiA,COQ5_3,IMPDH_1,merA_1
allB,dnaK2_1,yfhA,exsA,COQ5_3,arnC_1,pyrB,chrA1
yfmJ,yvgN,yfiZ,birA,yfcG_2,mshA_2,pmbA,vraR_2
bacC_2,dnaJ_1,mdtA_1,ribE,nemA_1,fdx4,tldD_2,sasA_5
pepP_1,clpB1_1,macB_1,menJ,sodB,cbs,iscS_1,kdpA
COQ3_4,paoB,yknY,frr,purM,pksE_1,mutS,kdpB
dedA,paoC,gph_1,pyrH,egtB_1,acpP_1,pknD_6,kdpC
nit1,pucA_1,queG,resA_1,rcsC_5,aaeA,ydbD_1,hmuV
coaD,nboR,spoIIAB,menH_2,gfo,macB_2,pknD_7,btuC
lgt_1,pipB2_1,rssB_1,tagU_2,merA_1,COQ5_4,apaH_1,hmuT
cbiF,hpnP_1,liaR_1,rpe,recQ_1,yitJ,arnC_2,dapb3_2
rlmN,apcA_1,tagA,uvrB,recQ_2,trpS,rpsB,pknD_2
uvrC,rcsC_1,phoD,serA_1,der_1,hpnP_1,tsf,apaH
divK_1,xamoC,bepR,prmA,ecfT_1,glgP_2,denK,per1
pipB2_1,merA_1,macB_2,rhaS_1,pdxJ,ydaD,minC,selO
benM,gloB_1,sodB,recF_1,cpoB_3,besA,minD_1,ettA
ilvD,petC_1,purM,pacL_1,qorA,pknD_6,minE,pmbA_1
rimI,COQ5_2,dapH_1,fabD,cpoB_4,scmP_1,mcrA,dedA
gdh_1,pbsA2,pdxH_1,fabH_1,katA,ppk_1,norR,yoaA
nhaP,hemF_1,bamA_1,plsX,arnT_1,psbA3_1,sasA_3,recD2_1
nadC,psbA1,pknD_5,lptC,bsr,comM,smpB,ndoA_1
gpsA2,mmaA2,mutS,metG,htrA_1,rsmF,mprA_1,rcsC_4
ftsH2_1,mbtH_2,amiC,rutD_1,pglF,ubiL,pvuIIM,rcsC_5
gltX,yojI_3,livH_1,gltC_1,arnC_1,pmpR,cynS,polA
yeeZ,menE_2,lptB_1,fetB_1,epsD_1,lysS,psaB1_1,ftsX
dnaJ_1,ppsD,livF_1,fetA,epsL,glk,psaA_1,ftsE
aroF_1,lgrD_6,folD,ltxD,epsD_2,gpmB,glsA,tagA
leuA_2,lgrB_4,pdxJ,exoA,epsN,ispG,resA_1,nuoK
pucG,dltA_2,gsiA_2,bshA_1,gdx_1,htrA_1,fbiC_1,ndhI
pknD_7,cmlA_1,glsA1,glpK,strB1,scpB,mdtB_1,nth
bamA_1,sbnA_2,rlpA_2,rpsO,hisC_2,ispD,macA_1,pknD_3
ycf3_1,sbnB,panC/cmk,aroF_1,mrsA,rfaQ,cpeS2,plsY
dgcE,rcsC_2,murQ,tyrC,hdc_1,bepA_2,dfa5_2,spkA_2
bchE,rssB_4,csm4,rcsC_8,cypM,malQ_1,dfa3_2,mog
msrB,arnC_1,csm3,bpoC,ndhI_1,tdcF,coaX,sigJ
cpoB_3,arnC_2,ubiX,lgrE,dsbD_1,aldHT,argH,aqdR
smc_1,tuaB_1,rnr_1,malT,prlC,sfsA,larB,yadH
djlA,glgA_1,clpP_1,inhA,psbM,cpoB_3,ispF,lnrL_1
cbs,oppF,ble,mshA_1,psbK,lipM,trmD,tmk
fdx4,oppD,mobA,queE,tgt,phrA,cphB_1,ywrD
mshA_2,dppC,ilvH,fghA,tolB_2,dppB,cphA,malP_1
arnC_2,dppB_1,scmP_1,glgP_1,era_1,sgrR,tatAy,glnB_2
COQ5_2,sgrR_1,bioD1,rhlE,cobS,psbB_1,copA,bolA
hepA_1,arnC_3,pknD_6,thiL,efeU,psbT,yafJ,crtN_1
rfbC,btuB_2,prs,gap2,ftsP,rpsA_1,ilvD,malP_2
